y_true,y_hat,ops
0.431,0.395,342033
0.431,0.401,342084
0.431,0.393,342131
0.431,0.394,342157
0.431,0.395,342203
0.627,0.459,342297
0.431,0.393,342335
0.431,0.395,342343
0.431,0.394,342386
0.431,0.388,342408
0.431,0.393,342467
0.431,0.394,342505
0.431,0.399,342556
0.431,0.393,342564
0.431,0.427,342807
0.431,0.393,342815
0.431,0.393,342882
0.431,0.399,342955
0.431,0.398,342998
0.431,0.394,343013
0.431,0.394,343056
0.431,0.399,343064
0.431,0.393,343129
0.431,0.394,343153
0.431,0.397,343196
0.431,0.404,343269
0.431,0.393,343293
0.431,0.396,343315
0.431,0.399,343331
0.431,0.393,343340
0.431,0.394,343404
0.431,0.395,343463
0.431,0.398,343587
0.431,0.393,343641
0.431,0.396,343676
0.431,0.398,343684
0.431,0.395,343722
0.431,0.407,343731
0.431,0.393,343765
0.431,0.393,343811
0.431,0.404,343889
0.431,0.393,343919
0.431,0.399,344010
0.431,0.395,344095
0.431,0.393,344141
0.431,0.395,344150
0.431,0.393,344249
0.431,0.394,344281
0.431,0.395,344362
0.431,0.399,344397
0.431,0.393,344443
0.431,0.394,344451
0.431,0.393,344486
0.431,0.395,344559
0.431,0.394,344583
0.431,0.393,344681
0.431,0.399,344729
0.431,0.393,344788
0.431,0.393,344800
0.431,0.393,344818
0.431,0.399,344877
0.431,0.396,344885
0.431,0.396,344915
0.431,0.394,345091
0.431,0.399,345164
0.431,0.393,345181
0.431,0.382,345270
0.431,0.393,345318
0.431,0.395,345458
0.431,0.398,345571
0.431,0.397,345598
0.431,0.393,345687
0.431,0.396,345709
0.431,0.395,345741
0.431,0.396,345776
0.431,0.399,345814
0.431,0.393,345822
0.431,0.396,346004
0.431,0.396,346209
0.431,0.399,346276
0.431,0.4,346292
0.431,0.393,346306
0.431,0.393,346411
0.431,0.397,346438
0.431,0.394,346471
0.431,0.393,346616
0.431,0.394,346870
0.431,0.431,346926
0.431,0.398,346942
0.431,0.396,346951
0.431,0.395,347108
0.431,0.393,347132
0.431,0.393,347141
0.431,0.398,347183
0.431,0.394,347230
0.431,0.393,347272
0.431,0.395,347302
0.431,0.4,347361
0.431,0.393,347477
0.431,0.393,347507
0.431,0.393,347591
0.431,0.393,347604
0.431,0.399,347655
0.431,0.393,347710
0.431,0.394,347736
0.431,0.393,347744
0.431,0.396,347795
0.431,0.393,347825
0.431,0.394,348066
0.431,0.396,348082
0.431,0.394,348180
0.431,0.398,348244
0.431,0.395,348252
0.431,0.398,348261
0.431,0.396,348295
0.431,0.393,348350
0.431,0.399,348392
0.431,0.395,348406
0.431,0.397,348457
0.431,0.393,348520
0.431,0.399,348635
0.431,0.393,348732
0.431,0.396,348767
0.431,0.394,348805
0.431,0.394,348830
0.431,0.394,348864
0.431,0.393,348881
0.431,0.394,348899
0.431,0.393,349011
0.431,0.393,349127
0.431,0.394,349194
0.431,0.396,349283
0.431,0.398,349291
0.431,0.397,349534
0.627,0.399,349577
0.431,0.396,349682
0.431,0.397,349712
0.431,0.396,349739
0.431,0.399,349755
0.431,0.394,349879
0.431,0.393,349917
0.431,0.393,350095
0.431,0.402,350117
0.431,0.397,350141
0.431,0.395,350222
0.431,0.396,350249
0.431,0.393,350290
0.431,0.396,350338
0.431,0.393,350346
0.431,0.394,350362
0.431,0.395,350371
0.431,0.393,350494
0.431,0.394,350508
0.431,0.4,350559
0.627,0.399,350605
0.431,0.399,350621
0.431,0.393,350630
0.431,0.397,350648
0.431,0.397,350699
0.431,0.398,350729
0.431,0.399,350770
0.431,0.399,350842
0.431,0.393,350940
0.431,0.393,351032
0.431,0.393,351091
0.431,0.394,351113
0.431,0.393,351148
0.431,0.397,351202
0.431,0.394,351270
0.431,0.397,351351
0.431,0.4,351407
0.431,0.399,351563
0.431,0.393,351628
0.431,0.398,351644
0.431,0.398,351679
0.431,0.4,351695
0.431,0.395,351776
0.431,0.396,351792
0.431,0.399,351881
0.431,0.393,351890
0.627,0.399,352039
0.431,0.394,352055
0.431,0.394,352110
0.431,0.393,352144
0.431,0.393,352152
0.431,0.396,352161
0.431,0.397,352179
0.431,0.409,352187
0.431,0.396,352314
0.431,0.399,352322
0.431,0.393,352373
0.431,0.398,352454
0.431,0.413,352501
0.431,0.394,352519
0.431,0.39,352527
0.431,0.403,352543
0.431,0.395,352586
0.431,0.397,352616
0.431,0.397,352683
0.431,0.394,352861
0.431,0.397,352942
0.431,0.399,353019
0.431,0.395,353027
0.431,0.397,353060
0.431,0.395,353116
0.431,0.399,353264
0.431,0.393,353353
0.431,0.396,353477
0.431,0.393,353515
0.431,0.399,353574
0.431,0.394,353647
0.431,0.394,353663
0.431,0.397,353698
0.431,0.393,353752
0.431,0.398,353787
0.431,0.394,353876
0.431,0.393,353892
0.431,0.401,353949
0.431,0.401,354031
0.431,0.398,354066
0.431,0.395,354279
0.431,0.401,354295
0.431,0.396,354325
0.431,0.393,354333
0.431,0.401,354350
0.431,0.394,354392
0.627,0.432,354473
0.431,0.394,354511
0.431,0.397,354554
0.431,0.398,354562
0.431,0.397,354619
0.431,0.394,354627
0.431,0.396,354678
0.431,0.395,354686
0.431,0.398,354694
0.431,0.393,354741
0.431,0.394,354783
0.431,0.394,354805
0.431,0.393,354821
0.431,0.396,354996
0.431,0.393,355011
0.431,0.399,355097
0.431,0.365,355135
0.431,0.394,355241
0.431,0.404,355348
0.431,0.4,355356
0.431,0.396,355577
0.431,0.396,355593
0.431,0.399,355623
0.431,0.406,355691
0.431,0.392,355721
0.431,0.398,355780
0.431,0.402,355950
0.431,0.393,356042
0.431,0.393,356085
0.431,0.397,356107
0.431,0.395,356123
0.431,0.393,356140
0.431,0.393,356191
0.431,0.395,356212
0.431,0.393,356298
0.431,0.398,356301
0.431,0.393,356336
0.431,0.404,356417
0.431,0.398,356522
0.431,0.398,356573
0.431,0.397,356581
0.431,0.395,356832
0.431,0.399,356891
0.431,0.398,357022
0.431,0.396,357065
0.431,0.397,357103
0.431,0.395,357138
0.431,0.393,357146
0.431,0.396,357227
0.431,0.399,357260
0.431,0.393,357294
0.431,0.393,357341
0.431,0.399,357383
0.431,0.413,357391
0.431,0.393,357448
0.431,0.393,357511
0.431,0.399,357626
0.431,0.394,357685
0.431,0.393,357715
0.627,0.399,357880
0.431,0.394,357910
0.431,0.392,358037
0.431,0.393,358053
0.431,0.397,358088
0.431,0.397,358096
0.627,0.4,358118
0.431,0.394,358126
0.431,0.393,358169
0.431,0.396,358231
0.431,0.399,358240
0.431,0.395,358282
0.431,0.395,358312
0.431,0.394,358339
0.431,0.396,358436
0.431,0.397,358479
0.431,0.397,358509
0.431,0.393,358568
0.431,0.412,358576
0.431,0.393,358681
