ops,anos_observados,falt_total_medio,falt_cont_medio,falt_ind_medio,falt_ind_modelo_medio
413062.0,1,0.6354166666666666,0.6274509803921569,0.6444444444444445,0.6511627906976745
412406.0,1,0.6354166666666666,0.6274509803921569,0.6444444444444445,0.6511627906976745
364096.0,1,0.6354166666666666,0.6274509803921569,0.6444444444444445,0.6511627906976745
404284.0,1,0.6354166666666666,0.6274509803921569,0.6444444444444445,0.6511627906976745
415642,1,0.632183908045977,0.7450980392156863,0.4722222222222222,0.45714285714285713
407003,1,0.632183908045977,0.7843137254901961,0.4166666666666667,0.4
416738,1,0.632183908045977,0.803921568627451,0.3888888888888889,0.37142857142857144
416151,2,0.632183908045977,0.7843137254901961,0.41666666666666663,0.4
416282,2,0.6264367816091954,0.7941176470588236,0.3888888888888889,0.37142857142857144
416525,2,0.6264367816091954,0.803921568627451,0.375,0.35714285714285715
411442.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
410021.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
407976.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
408301.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
403717.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
320579.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
403989.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
404861.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
301736.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
335771.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
402940.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
352039.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
409928.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
408743.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
309834.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
414221.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
414140.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
357880.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
404721.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
379344.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
400491.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
312665.0,1,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
403784,2,0.6156079854809438,0.6470588235294117,0.5606060606060607,0.5488372093023256
341134.0,1,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
330558.0,1,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
403172.0,1,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
320528.0,1,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
338028.0,1,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
331406.0,1,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
401188.0,1,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
316768.0,1,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
378861.0,1,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
407259.0,1,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
378666.0,1,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
407313,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
414409,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
377368,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
404781,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
377228,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
311162,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
406562,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
317837,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
356891,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
414417,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
364894,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
413712,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
409693,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
402541,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
409685,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
411680,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
410896,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
414000,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
361721,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
315371,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
314889,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
408069,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
408816,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
405647,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
410276,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
413470,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
350621,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
324892,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
412201,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
339989,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
413208,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
323772,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
411329,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
411337,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
348392,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
412881,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
330183,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
412198,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
411833,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
325368,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
412031,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
404713,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
330051,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
370746,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
311634,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
375764,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
376345,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
312134,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
374300,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
312461,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
312924,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
405710,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
409511,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
357103,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
318728,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
413801,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
318329,1,0.6105263157894737,0.5294117647058824,0.7045454545454546,0.6976744186046512
416789,1,0.6091954022988506,0.7843137254901961,0.3611111111111111,0.34285714285714286
400131.0,1,0.6041666666666666,0.6274509803921569,0.5777777777777777,0.5813953488372093
354473.0,1,0.6041666666666666,0.6274509803921569,0.5777777777777777,0.5813953488372093
404411.0,1,0.6041666666666666,0.6274509803921569,0.5777777777777777,0.5813953488372093
368458.0,1,0.6041666666666666,0.6274509803921569,0.5777777777777777,0.5813953488372093
400611.0,1,0.6041666666666666,0.6274509803921569,0.5777777777777777,0.5813953488372093
415651,2,0.5977011494252873,0.7450980392156863,0.3888888888888889,0.37142857142857144
300420.0,1,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
336548.0,1,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
342297.0,1,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
358118.0,1,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
363600.0,1,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
410349.0,1,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
341126.0,1,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
335223.0,1,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
371068.0,1,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
406953.0,1,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
313041.0,1,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
411205.0,1,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
349577.0,1,0.59375,0.6274509803921569,0.5555555555555556,0.5581395348837209
404802,1,0.5894736842105263,0.5294117647058824,0.6590909090909091,0.6511627906976745
416291,2,0.5862068965517242,0.7647058823529411,0.3333333333333333,0.3142857142857143
412422,1,0.5789473684210527,0.5294117647058824,0.6363636363636364,0.627906976744186
416681,1,0.5747126436781609,0.7254901960784313,0.3611111111111111,0.34285714285714286
416207,2,0.5689655172413793,0.7058823529411764,0.375,0.35714285714285715
416037,2,0.5689655172413792,0.6862745098039216,0.4027777777777778,0.3857142857142857
416606,1,0.5632183908045977,0.7058823529411765,0.3611111111111111,0.34285714285714286
416355,2,0.5574712643678161,0.696078431372549,0.3611111111111111,0.34285714285714286
416371,2,0.5574712643678161,0.6862745098039216,0.375,0.35714285714285715
416029,2,0.5574712643678161,0.696078431372549,0.3611111111111111,0.34285714285714286
366871,2,0.5527879103699844,0.45098039215686275,0.6622727272727273,0.686046511627907
410322,2,0.5527879103699844,0.45098039215686275,0.6622727272727273,0.686046511627907
412139,2,0.5527879103699844,0.45098039215686275,0.6622727272727273,0.686046511627907
338273,2,0.5527879103699844,0.45098039215686275,0.6622727272727273,0.686046511627907
377252,2,0.5527879103699844,0.45098039215686275,0.6622727272727273,0.686046511627907
315591,2,0.5527879103699844,0.45098039215686275,0.6622727272727273,0.686046511627907
338648.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
337706.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
330051.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
339636.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
340103.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
412881.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
321869.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
340642.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
402541.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
413691.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
412201.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
410454.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
350621.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
409782.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
372137.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
415171.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
370584.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
370762.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
374300.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
312134.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
309681.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
311634.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
306631.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
315095.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
314668.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
315583.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
414000.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
307220.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
368644.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
407542.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
405710.0,1,0.5520833333333334,0.43137254901960786,0.6888888888888889,0.6976744186046512
416533,1,0.5517241379310345,0.6862745098039216,0.3611111111111111,0.34285714285714286
415863,2,0.5517241379310345,0.6274509803921569,0.4444444444444444,0.42857142857142855
335789.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
330183.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
412295.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
403784.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
411663.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
324892.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
390372.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
312304.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
303569.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
343331.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
344010.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
410322.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
411680.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
370321.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
374326.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
413968.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
385697.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
408069.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
356891.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
367877.0,2,0.5433683993399341,0.4411764705882353,0.6544444444444444,0.686046511627907
309711,2,0.5428869202709745,0.45098039215686275,0.6422727272727273,0.6627906976744187
352322,2,0.5428869202709745,0.45098039215686275,0.6422727272727273,0.6627906976744187
416401,2,0.5402298850574713,0.6666666666666666,0.3611111111111111,0.34285714285714286
416754,1,0.5402298850574713,0.6666666666666666,0.3611111111111111,0.34285714285714286
324671,3,0.5368421052631579,0.6274509803921569,0.40151515151515155,0.38493909191583614
310824,2,0.5351482153660012,0.5392156862745099,0.5189393939393939,0.5059800664451828
414484.0,1,0.5346534653465347,0.45098039215686275,0.62,0.6744186046511628
414549.0,1,0.5346534653465347,0.45098039215686275,0.62,0.6744186046511628
416193,2,0.5344827586206896,0.6862745098039216,0.3194444444444444,0.3
304590.0,3,0.5305624312431244,0.42483660130718953,0.642962962962963,0.6821705426356589
411329.0,3,0.5305624312431244,0.42483660130718953,0.642962962962963,0.6821705426356589
324477.0,3,0.5305624312431244,0.42483660130718953,0.642962962962963,0.6821705426356589
325368.0,3,0.5305624312431244,0.42483660130718953,0.642962962962963,0.6821705426356589
332127.0,3,0.5305624312431244,0.42483660130718953,0.642962962962963,0.6821705426356589
332062.0,3,0.5305624312431244,0.42483660130718953,0.642962962962963,0.6821705426356589
338273.0,3,0.5305624312431244,0.42483660130718953,0.642962962962963,0.6821705426356589
315591.0,3,0.5305624312431244,0.42483660130718953,0.642962962962963,0.6821705426356589
